SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,3239 A Louise,Oakland,CA,94608,925000,2,2.0,Oakland,1896,1812,2017,1,Garage,17,Active,,,,,925000,,,http://www.redfin.com/CA/Oakland/3239-Louise-St-94608/home/143937518,San Francisco Association of Realtors (SFARMLS),464587,,Y,Y,37.8246943,-122.2849048,false
MLS Listing,Single Family Residential,742 Willow St,Oakland,CA,94607,875000,3,2.0,West Oakland,1954,1595,2016,1,Garage,200,Active,,,,2017-11-14,995000,,,http://www.redfin.com/CA/Oakland/742-Willow-St-94607/home/113855540,East Bay Regional Data (EBRD),40779671,New Leaf Realty,Y,Y,37.8073843,-122.300585,false
MLS Listing,Condo/Co-op,3019 Linden St,Oakland,CA,94608,750000,3,2.5,West Oakland,1918,,2006,2,Garage,72,Active,,,,,750000,2008-08-05,465000,http://www.redfin.com/CA/Oakland/3019-Linden-St-94608/home/17185011,East Bay Regional Data (EBRD),40796088,CLIMB REAL ESTATE GROUP,Y,Y,37.8221367,-122.2794709,false
MLS Listing,Single Family Residential,1745 15th,Oakland,CA,94607,925000,3,2.5,Prescott,1755,1850,2017,1,Garage,39,Active,,,,,925000,,,http://www.redfin.com/CA/Oakland/1745-15th-St-94607/home/144037602,East Bay Regional Data (EBRD),40800106,WINKLER REAL ESTATE GROUP,Y,Y,37.813782,-122.2969194,false
MLS Listing,Single Family Residential,1172 66th St,Oakland,CA,94608,695000,2,1.0,Nobe,793,610,2017,1,Garage,72,Contingent,,,,,695000,,,http://www.redfin.com/CA/Oakland/1172-66th-St-94608/home/143715185,East Bay Regional Data (EBRD),40796031,CALDECOTT PROPERTIES,Y,Y,37.8489964,-122.2876551,false
MLS Listing,Condo/Co-op,423 7Th St #710,Oakland,CA,94607,685000,2,2.0,Chinatown,1124,,2008,1,Garage,70,Active,2017-11-18,14:00,16:00,,685000,,,http://www.redfin.com/CA/Oakland/423-7th-St-94607/unit-710/home/22671597,East Bay Regional Data (EBRD),40796469,PACIFIC SALES & MANAGEMENT,Y,Y,37.798984,-122.273955,false
MLS Listing,Condo/Co-op,101 Crescent Way #2203,SAN FRANCISCO,CA,94134,698880,2,2.0,SAN FRANCISCO,1337,42325,2001,12,Garage,72,Contingent,,,,,698880,,,http://www.redfin.com/CA/San-Francisco/101-Crescent-Way-94134/unit-2203/home/1600472,MLSListings Inc. (MLSLI),ML81676991,Century 21 Real Estate Alliance,Y,Y,37.7109189,-122.389249,false
MLS Listing,Condo/Co-op,1975 Linden St,OAKLAND,CA,94607,624888,4,3.0,OAKLAND,1587,12055,2007,1,Garage,72,Pending,,,,,624888,2009-12-11,220000,http://www.redfin.com/CA/Oakland/1975-Linden-St-94607/home/12116318,MLSListings Inc. (MLSLI),ML81676913,Intero Real Estate Services,Y,Y,37.813422,-122.282748,false
MLS Listing,Townhouse,9487 Macarthur Blvd,OAKLAND,CA,94605,499000,3,3.0,OAKLAND,2100,1841,2007,1,Garage,58,Active,,,,2017-10-06,619000,2008-07-24,440000,http://www.redfin.com/CA/Oakland/9487-MacArthur-Blvd-94605/home/17186584,MLSListings Inc. (MLSLI),ML81678922,"Edwin Yeh, Broker",Y,Y,37.7518932,-122.1602567,false
MLS Listing,Condo/Co-op,1 Crescent Way #1209,SAN FRANCISCO,CA,94134,788000,2,2.0,SAN FRANCISCO,1063,42105,2001,2,Garage,51,Pending,,,,,788000,2005-03-11,618880,http://www.redfin.com/CA/San-Francisco/1-Crescent-Way-94134/unit-1209/home/22879443,MLSListings Inc. (MLSLI),ML81679678,Alain Pinel Realtors,Y,Y,37.71084,-122.390181,false
